Nomor,D1,D2,D3,R1,R2,R3,K1,K2,K3,Category
1,2.633097286,2.605659145,3.127035596,71.71549479,71.68619792,72.06054688,76.3671875,73.6328125,81.34765625,0
2,2.605659145,3.127035596,3.152772115,71.68619792,72.06054688,72.18424479,73.6328125,81.34765625,74.609375,0
3,3.127035596,3.152772115,3.152730393,72.06054688,72.18424479,72.19075521,81.34765625,74.609375,72.265625,0
4,3.152772115,3.152730393,3.172346962,72.18424479,72.19075521,72.29817708,74.609375,72.265625,74.4140625,0
5,3.152730393,3.172346962,3.132840548,72.19075521,72.29817708,72.421875,72.265625,74.4140625,73.2421875,0
6,3.172346962,3.132840548,3.114346288,72.29817708,72.421875,72.53255208,74.4140625,73.2421875,73.6328125,0
7,3.132840548,3.114346288,3.114636656,72.421875,72.53255208,72.53580729,73.2421875,73.6328125,72.8515625,0
8,3.114346288,3.114636656,3.127286228,72.53255208,72.53580729,72.51302083,73.6328125,72.8515625,70.5078125,0
9,3.114636656,3.127286228,3.245761256,72.53580729,72.51302083,72.60416667,72.8515625,70.5078125,77.9296875,0
10,3.127286228,3.245761256,3.292531964,72.51302083,72.60416667,72.43815104,70.5078125,77.9296875,69.140625,0
11,3.245761256,3.292531964,3.368078977,72.60416667,72.43815104,72.31445313,77.9296875,69.140625,68.5546875,0
12,3.292531964,3.368078977,3.424202482,72.43815104,72.31445313,72.17773438,69.140625,68.5546875,68.84765625,0
13,3.368078977,3.424202482,3.443165478,72.31445313,72.17773438,72.15820313,68.5546875,68.84765625,68.65234375,0
14,3.424202482,3.443165478,3.467150203,72.17773438,72.15820313,72.08007813,68.84765625,68.65234375,69.921875,0
15,3.443165478,3.467150203,3.467504285,72.15820313,72.08007813,72.08658854,68.65234375,69.921875,72.36328125,0
16,3.467150203,3.467504285,3.657236791,72.08007813,72.08658854,72.34375,69.921875,72.36328125,78.61328125,0
17,3.467504285,3.657236791,3.731962943,72.08658854,72.34375,72.66276042,72.36328125,78.61328125,78.125,0
18,3.657236791,3.731962943,3.894868251,72.34375,72.66276042,72.94921875,78.61328125,78.125,79.19921875,0
19,3.731962943,3.894868251,3.975898094,72.66276042,72.94921875,73.18684896,78.125,79.19921875,77.9296875,0
20,3.894868251,3.975898094,4.243481582,72.94921875,73.18684896,73.70768229,79.19921875,77.9296875,83.30078125,0
21,3.975898094,4.243481582,4.059020153,73.18684896,73.70768229,74.09179688,77.9296875,83.30078125,77.734375,0
22,4.243481582,4.059020153,4.099472006,73.70768229,74.09179688,74.34244792,83.30078125,77.734375,78.61328125,0
23,4.059020153,4.099472006,4.046876311,74.09179688,74.34244792,74.67122396,77.734375,78.61328125,78.80859375,0
24,4.099472006,4.046876311,4.03662444,74.34244792,74.67122396,74.89908854,78.61328125,78.80859375,78.02734375,0
25,4.046876311,4.03662444,4.134458386,74.67122396,74.89908854,74.81119792,78.80859375,78.02734375,69.140625,0
26,4.03662444,4.134458386,4.153325877,74.89908854,74.81119792,74.78190104,78.02734375,69.140625,71.77734375,0
27,4.134458386,4.153325877,4.177799042,74.81119792,74.78190104,74.45638021,69.140625,71.77734375,69.43359375,0
28,4.153325877,4.177799042,4.179215662,74.78190104,74.45638021,74.46940104,71.77734375,69.43359375,75.09765625,0
29,4.177799042,4.179215662,4.19826714,74.45638021,74.46940104,74.50195313,69.43359375,75.09765625,77.34375,0
30,4.179215662,4.19826714,4.542978344,74.46940104,74.50195313,74.85026042,75.09765625,77.34375,84.08203125,0
31,4.19826714,4.542978344,4.384374738,74.50195313,74.85026042,74.68098958,77.34375,84.08203125,76.26953125,0
32,4.542978344,4.384374738,4.762021793,74.85026042,74.68098958,75.02278646,84.08203125,76.26953125,84.86328125,0
33,4.384374738,4.762021793,4.996876234,74.68098958,75.02278646,75.41015625,76.26953125,84.86328125,83.88671875,0
34,4.762021793,4.996876234,5.263971022,75.02278646,75.41015625,75.74869792,84.86328125,83.88671875,84.5703125,0
35,4.996876234,5.263971022,5.495652548,75.41015625,75.74869792,76.13606771,83.88671875,84.5703125,84.86328125,0
36,5.263971022,5.495652548,5.693115523,75.74869792,76.13606771,76.50716146,84.5703125,84.86328125,84.765625,0
37,5.495652548,5.693115523,5.842893374,76.13606771,76.50716146,76.875,84.86328125,84.765625,84.765625,0
38,5.693115523,5.842893374,5.884380201,76.50716146,76.875,77.11263021,84.765625,84.765625,84.765625,0
39,5.842893374,5.884380201,6.036799977,76.875,77.11263021,77.11263021,84.765625,84.765625,84.765625,0
40,5.884380201,6.036799977,0,77.11263021,77.11263021,0,84.765625,84.765625,0,0
41,4.23145264,4.660745908,4.724656673,91.15559896,90.67708333,90.18229167,81.54296875,79.8828125,82.421875,1
42,4.660745908,4.724656673,4.704452786,90.67708333,90.18229167,90.15299479,79.8828125,82.421875,92.87109375,1
43,4.724656673,4.704452786,4.690020238,90.18229167,90.15299479,90.13020833,82.421875,92.87109375,92.67578125,1
44,4.704452786,4.690020238,4.682403951,90.15299479,90.13020833,90.1171875,92.87109375,92.67578125,92.578125,1
45,4.690020238,4.682403951,4.673341144,90.13020833,90.1171875,90.10091146,92.67578125,92.578125,92.3828125,1
46,4.682403951,4.673341144,4.642124892,90.1171875,90.10091146,90.04882813,92.578125,92.3828125,91.9921875,1
47,4.673341144,4.642124892,4.62497683,90.10091146,90.04882813,89.98697917,92.3828125,91.9921875,90.33203125,1
48,4.642124892,4.62497683,4.575921726,90.04882813,89.98697917,89.90559896,91.9921875,90.33203125,91.40625,1
49,4.62497683,4.575921726,4.527069958,89.98697917,89.90559896,89.83398438,90.33203125,91.40625,91.796875,1
50,4.575921726,4.527069958,4.513483769,89.90559896,89.83398438,89.8046875,91.40625,91.796875,91.40625,1
51,4.527069958,4.513483769,4.508464555,89.83398438,89.8046875,89.79492188,91.796875,91.40625,91.89453125,1
52,4.513483769,4.508464555,4.524841736,89.8046875,89.79492188,89.88606771,91.40625,91.89453125,91.9921875,1
53,4.508464555,4.524841736,4.492896318,89.79492188,89.88606771,89.82096354,91.89453125,91.9921875,91.015625,1
54,4.524841736,4.492896318,4.454026836,89.88606771,89.82096354,89.73958333,91.9921875,91.015625,90.625,1
55,4.492896318,4.454026836,4.389738117,89.82096354,89.73958333,89.65169271,91.015625,90.625,91.50390625,1
56,4.454026836,4.389738117,4.331153932,89.73958333,89.65169271,89.57356771,90.625,91.50390625,91.6015625,1
57,4.389738117,4.331153932,4.26125297,89.65169271,89.57356771,89.45638021,91.50390625,91.6015625,90.234375,1
58,4.331153932,4.26125297,4.179771686,89.57356771,89.45638021,89.30664063,91.6015625,90.234375,89.35546875,1
59,4.26125297,4.179771686,4.149111455,89.45638021,89.30664063,89.22200521,90.234375,89.35546875,89.453125,1
60,4.179771686,4.149111455,3.920865483,89.30664063,89.22200521,89.47916667,89.35546875,89.453125,89.74609375,1
61,4.149111455,3.920865483,3.880990981,89.22200521,89.47916667,89.57682292,89.453125,89.74609375,89.453125,1
62,3.920865483,3.880990981,4.104186139,89.47916667,89.57682292,89.46614583,89.74609375,89.453125,80.078125,1
63,3.880990981,4.104186139,4.599308248,89.57682292,89.46614583,89.01041667,89.453125,80.078125,77.83203125,1
64,4.104186139,4.599308248,4.973410798,89.46614583,89.01041667,88.55143229,80.078125,77.83203125,78.125,1
65,4.599308248,4.973410798,4.834791023,89.01041667,88.55143229,88.67513021,77.83203125,78.125,85.15625,1
66,4.973410798,4.834791023,4.780267504,88.55143229,88.67513021,88.59375,78.125,85.15625,90.52734375,1
67,4.834791023,4.780267504,4.741398005,88.67513021,88.59375,88.53190104,85.15625,90.52734375,90.52734375,1
68,4.780267504,4.741398005,4.720739846,88.59375,88.53190104,88.57096354,90.52734375,90.52734375,86.71875,1
69,4.741398005,4.720739846,4.533482084,88.53190104,88.57096354,88.84440104,90.52734375,86.71875,89.74609375,1
70,4.720739846,4.533482084,4.391700427,88.57096354,88.84440104,88.92252604,86.71875,89.74609375,82.2265625,1
71,4.533482084,4.391700427,4.252977145,88.84440104,88.92252604,89.24804688,89.74609375,82.2265625,92.1875,1
72,4.391700427,4.252977145,4.206513791,88.92252604,89.24804688,89.17317708,82.2265625,92.1875,90.625,1
73,4.252977145,4.206513791,4.171175217,89.24804688,89.17317708,89.12109375,92.1875,90.625,91.11328125,1
74,4.206513791,4.171175217,4.13775134,89.17317708,89.12109375,89.07226563,90.625,91.11328125,91.11328125,1
75,4.171175217,4.13775134,4.127576459,89.12109375,89.07226563,89.05924479,91.11328125,91.11328125,91.9921875,1
76,4.13775134,4.127576459,4.125221472,89.07226563,89.05924479,89.05598958,91.11328125,91.9921875,91.89453125,1
77,4.127576459,4.125221472,4.145225959,89.05924479,89.05598958,89.09830729,91.9921875,91.89453125,91.6015625,1
78,4.125221472,4.145225959,4.165158053,89.05598958,89.09830729,89.12760417,91.89453125,91.6015625,92.28515625,1
79,4.145225959,4.165158053,4.17802862,89.09830729,89.12760417,88.92578125,91.6015625,92.28515625,85.7421875,1
80,4.165158053,4.17802862,0,89.12760417,88.92578125,0,92.28515625,85.7421875,0,1
81,3.499962617,3.028223506,2.650166755,90.65104167,90.29296875,90.09765625,93.9453125,89.2578125,92.578125,1
82,3.028223506,2.650166755,2.60277371,90.29296875,90.09765625,90.05533854,89.2578125,92.578125,92.28515625,1
83,2.650166755,2.60277371,2.615763482,90.09765625,90.05533854,90.06835938,92.578125,92.28515625,92.7734375,1
84,2.60277371,2.615763482,2.597005886,90.05533854,90.06835938,90.03580729,92.28515625,92.7734375,91.015625,1
85,2.615763482,2.597005886,2.607099613,90.06835938,90.03580729,90.04882813,92.7734375,91.015625,92.1875,1
86,2.597005886,2.607099613,2.551562556,90.03580729,90.04882813,89.99023438,91.015625,92.1875,91.50390625,1
87,2.607099613,2.551562556,2.427099785,90.04882813,89.99023438,89.8828125,92.1875,91.50390625,91.11328125,1
88,2.551562556,2.427099785,2.391933182,89.99023438,89.8828125,89.85026042,91.50390625,91.11328125,91.89453125,1
89,2.427099785,2.391933182,2.386778842,89.8828125,89.85026042,89.84049479,91.11328125,91.89453125,90.91796875,1
90,2.391933182,2.386778842,2.372533386,89.85026042,89.84049479,89.82421875,91.89453125,90.91796875,91.6015625,1
91,2.386778842,2.372533386,2.39189881,89.84049479,89.82421875,89.88606771,90.91796875,91.6015625,91.50390625,1
92,2.372533386,2.39189881,2.382124188,89.82421875,89.88606771,90.02604167,91.6015625,91.50390625,91.89453125,1
93,2.39189881,2.382124188,2.389181914,89.88606771,90.02604167,90.13020833,91.50390625,91.89453125,91.796875,1
94,2.382124188,2.389181914,2.396667122,90.02604167,90.13020833,90.25390625,91.89453125,91.796875,92.1875,1
95,2.389181914,2.396667122,2.38021833,90.13020833,90.25390625,90.35807292,91.796875,92.1875,91.50390625,1
96,2.396667122,2.38021833,2.357404549,90.25390625,90.35807292,90.46875,92.1875,91.50390625,91.6015625,1
97,2.38021833,2.357404549,2.300654914,90.35807292,90.46875,90.58268229,91.50390625,91.6015625,91.11328125,1
98,2.357404549,2.300654914,2.159239778,90.46875,90.58268229,90.77148438,91.6015625,91.11328125,91.89453125,1
99,2.300654914,2.159239778,1.860351047,90.58268229,90.77148438,91.03190104,91.11328125,91.89453125,92.578125,1
100,2.159239778,1.860351047,1.517474497,90.77148438,91.03190104,91.33789063,91.89453125,92.578125,93.9453125,1
101,1.860351047,1.517474497,1.129021639,91.03190104,91.33789063,91.58528646,92.578125,93.9453125,93.1640625,1
102,1.517474497,1.129021639,1.145408177,91.33789063,91.58528646,91.65039063,93.9453125,93.1640625,92.87109375,1
103,1.129021639,1.145408177,1.123298186,91.58528646,91.65039063,91.70247396,93.1640625,92.87109375,91.9921875,1
104,1.145408177,1.123298186,1.109132137,91.65039063,91.70247396,91.71875,92.87109375,91.9921875,91.015625,1
105,1.123298186,1.109132137,1.094532453,91.70247396,91.71875,91.73502604,91.9921875,91.015625,91.015625,1
106,1.109132137,1.094532453,1.093089338,91.71875,91.73502604,91.74153646,91.015625,91.015625,91.6015625,1
107,1.094532453,1.093089338,1.093089338,91.73502604,91.74153646,91.74153646,91.015625,91.6015625,90.4296875,1
108,1.093089338,1.093089338,0.997859549,91.74153646,91.74153646,91.79036458,91.6015625,90.4296875,90.52734375,1
109,1.093089338,0.997859549,0.922660453,91.74153646,91.79036458,91.68945313,90.4296875,90.52734375,90.91796875,1
110,0.997859549,0.922660453,0.806796807,91.79036458,91.68945313,91.75455729,90.52734375,90.91796875,91.2109375,1
111,0.922660453,0.806796807,0.793812046,91.68945313,91.75455729,91.71549479,90.91796875,91.2109375,91.40625,1
112,0.806796807,0.793812046,0.810423122,91.75455729,91.71549479,91.66015625,91.2109375,91.40625,90.625,1
113,0.793812046,0.810423122,0.790456263,91.71549479,91.66015625,91.6015625,91.40625,90.625,91.015625,1
114,0.810423122,0.790456263,0.788157825,91.66015625,91.6015625,91.60481771,90.625,91.015625,91.11328125,1
115,0.790456263,0.788157825,0.780716637,91.6015625,91.60481771,91.58854167,91.015625,91.11328125,91.69921875,1
116,0.788157825,0.780716637,0.805266843,91.60481771,91.58854167,91.62760417,91.11328125,91.69921875,92.67578125,1
117,0.780716637,0.805266843,0.80057726,91.58854167,91.62760417,91.63736979,91.69921875,92.67578125,91.40625,1
118,0.805266843,0.80057726,0.841120586,91.62760417,91.63736979,91.67643229,92.67578125,91.40625,93.06640625,1
119,0.80057726,0.841120586,0.829625706,91.63736979,91.67643229,91.69596354,91.40625,93.06640625,91.50390625,1
120,0.841120586,0.829625706,0,91.67643229,91.69596354,0,93.06640625,91.50390625,0,1
121,3.076169202,3.076169202,3.096996546,9.921875,9.921875,10.04231771,7.91015625,8.69140625,12.3046875,2
122,3.076169202,3.096996546,3.085294135,9.921875,10.04231771,10.07486979,8.69140625,12.3046875,9.47265625,2
123,3.096996546,3.085294135,3.091815715,10.04231771,10.07486979,10.18880208,12.3046875,9.47265625,12.01171875,2
124,3.085294135,3.091815715,3.093603861,10.07486979,10.18880208,10.18554688,9.47265625,12.01171875,8.49609375,2
125,3.091815715,3.093603861,3.097697285,10.18880208,10.18554688,10.17903646,12.01171875,8.49609375,8.203125,2
126,3.093603861,3.097697285,3.086679459,10.18554688,10.17903646,10.04231771,8.49609375,8.203125,8.30078125,2
127,3.097697285,3.086679459,2.712608356,10.17903646,10.04231771,9.720052083,8.203125,8.30078125,8.30078125,2
128,3.086679459,2.712608356,2.33254513,10.04231771,9.720052083,9.440104167,8.30078125,8.30078125,8.69140625,2
129,2.712608356,2.33254513,2.33254513,9.720052083,9.440104167,9.440104167,8.30078125,8.69140625,8.7890625,2
130,2.33254513,2.33254513,2.33153217,9.440104167,9.440104167,9.443359375,8.69140625,8.7890625,8.7890625,2
131,2.33254513,2.33153217,2.324976069,9.440104167,9.443359375,9.443359375,8.7890625,8.7890625,8.7890625,2
132,2.33153217,2.324976069,2.317573852,9.443359375,9.443359375,9.443359375,8.7890625,8.7890625,8.69140625,2
133,2.324976069,2.317573852,2.323938583,9.443359375,9.443359375,9.443359375,8.7890625,8.69140625,8.49609375,2
134,2.317573852,2.323938583,2.306971293,9.443359375,9.443359375,9.443359375,8.69140625,8.49609375,8.203125,2
135,2.323938583,2.306971293,1.764475543,9.443359375,9.443359375,8.287760417,8.49609375,8.203125,8.0078125,2
136,2.306971293,1.764475543,1.765788994,9.443359375,8.287760417,8.287760417,8.203125,8.0078125,8.30078125,2
137,1.764475543,1.765788994,1.729256497,8.287760417,8.287760417,8.287760417,8.0078125,8.30078125,8.30078125,2
138,1.765788994,1.729256497,1.004805539,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.30078125,2
139,1.729256497,1.004805539,0.999505984,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.30078125,2
140,1.004805539,0.999505984,0.999505984,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,9.08203125,2
141,0.999505984,0.999505984,0.999505984,8.287760417,8.287760417,8.287760417,8.30078125,9.08203125,8.30078125,2
142,0.999505984,0.999505984,0.999505984,8.287760417,8.287760417,8.287760417,9.08203125,8.30078125,8.30078125,2
143,0.999505984,0.999505984,1.00062949,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.30078125,2
144,0.999505984,1.00062949,1.002069021,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.203125,2
145,1.00062949,1.002069021,1.002069021,8.287760417,8.287760417,8.287760417,8.30078125,8.203125,8.30078125,2
146,1.002069021,1.002069021,1.002069021,8.287760417,8.287760417,8.287760417,8.203125,8.30078125,8.30078125,2
147,1.002069021,1.002069021,1.00062949,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.30078125,2
148,1.002069021,1.00062949,0.996721924,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.203125,2
149,1.00062949,0.996721924,0.990250692,8.287760417,8.287760417,8.287760417,8.30078125,8.203125,8.203125,2
150,0.996721924,0.990250692,0.992903865,8.287760417,8.287760417,8.287760417,8.203125,8.203125,8.30078125,2
151,0.990250692,0.992903865,0.722980788,8.287760417,8.287760417,8.287760417,8.203125,8.30078125,8.203125,2
152,0.992903865,0.722980788,0.702682102,8.287760417,8.287760417,8.287760417,8.30078125,8.203125,8.30078125,2
153,0.722980788,0.702682102,0.239322518,8.287760417,8.287760417,8.287760417,8.203125,8.30078125,8.203125,2
154,0.702682102,0.239322518,0.238772246,8.287760417,8.287760417,8.287760417,8.30078125,8.203125,8.30078125,2
155,0.239322518,0.238772246,0.236998162,8.287760417,8.287760417,8.287760417,8.203125,8.30078125,8.30078125,2
156,0.238772246,0.236998162,0.237460237,8.287760417,8.287760417,8.287760417,8.30078125,8.30078125,8.49609375,2
157,0.236998162,0.237460237,0.237460237,8.287760417,8.287760417,8.287760417,8.30078125,8.49609375,8.30078125,2
158,0.237460237,0.237460237,0.230717085,8.287760417,8.287760417,8.287760417,8.49609375,8.30078125,8.30078125,2
